Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2005,2005,1000 US$,44725675,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2006,2006,1000 US$,46176479,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2006,2006,1000 US$,64376809,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2007,2007,1000 US$,87511810,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2007,2007,1000 US$,60384851,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2008,2008,1000 US$,91483370,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2008,2008,1000 US$,113767749,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2009,2009,1000 US$,84743821,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2009,2009,1000 US$,68599303,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2010,2010,1000 US$,85437820,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2010,2010,1000 US$,115373905,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2011,2011,1000 US$,156190713,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2011,2011,1000 US$,105978654,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2012,2012,1000 US$,107279878,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2012,2012,1000 US$,156793352,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2013,2013,1000 US$,146769394,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2013,2013,1000 US$,116954737,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2014,2014,1000 US$,116614000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2014,2014,1000 US$,148923000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2015,2015,1000 US$,87926000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2015,2015,1000 US$,95615000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2016,2016,1000 US$,86557000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2016,2016,1000 US$,72273000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5922,Export Value,10,Total Merchandise Trade,2017,2017,1000 US$,90948000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
TP,Crops and livestock products,5105,Western Africa,5622,Import Value,10,Total Merchandise Trade,2017,2017,1000 US$,85485000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
